Category,References,Value,PCB Package,Stock Code,Unit Cost,url,kosmodrom,variant
Capacitors,C1,10nF,0805_CAP,,"0,75грн",http://www.kosmodrom.com.ua/el.php?name=CP08051050V8020,00-00034541,
Capacitors,C2,10nF,0805_CAP,,"0,75грн",http://www.kosmodrom.com.ua/el.php?name=CP08051050V8020,00-00034541,
Capacitors,C3,0.1uF,0805_CAP,Digikey PCF1125TR-ND,"0,50грн",http://www.kosmodrom.com.ua/el.php?name=CAP08050150V20,00-00034551,
Capacitors,C4,10u,CAPMP3528X210,Digikey 495-2238-2-ND,"4,75грн",http://www.kosmodrom.com.ua/el.php?name=TECAP%2010_10V%20B%2010,00-00034676,
Capacitors,C5,0.1uF,0805_CAP,Digikey PCF1125TR-ND,"0,50грн",http://www.kosmodrom.com.ua/el.php?name=CAP08050150V20,00-00034551,
Capacitors,C6,0.1uF,0805_CAP,,"0,30грн",,,
Resistors,R1,10k,0805_RES,72-0869,,,,
Resistors,R2,10k,0805_RES,72-0869,,,,
Resistors,R3,470R,0805_RES,72-0669,"0,10грн",http://www.kosmodrom.com.ua/el.php?name=SMDRES0805470OM1,00-00049437,
Resistors,R4,470R,0805_RES,72-0669,"0,10грн",http://www.kosmodrom.com.ua/el.php?name=SMDRES0805470OM1,00-00049437,
Resistors,R5,10k,0805_RES,72-0869,"0,11грн",,00-00049467,
Resistors,R6,10k,0805_RES,72-0869,"0,11грн",,00-00049467,
Resistors,R7,10k,0805_RES,72-0869,"0,11грн",,00-00049467,
Resistors,R8,10k,0805_RES,72-0869,"0,11грн",,00-00049467,
Resistors,R9,470R,0805_RES,72-0669,"0,10грн",http://www.kosmodrom.com.ua/el.php?name=SMDRES0805470OM1,00-00049437,
Resistors,R10,470R,0805_RES,72-0669,"0,10грн",http://www.kosmodrom.com.ua/el.php?name=SMDRES0805470OM1,00-00049437,
Resistors,R11,100R,0805_RES,72-0592,,,,
Resistors,R12,100R,0805_RES,72-0592,,,,
Resistors,R13,100R,0805_RES,72-0592,,,,
Resistors,R14,100R,0805_RES,72-0592,,,,
Resistors,R15,10k,0805_RES,72-0869,"0,11грн",,00-00049467,
Resistors,R16,10k,0805_RES,72-0869,,,,
Resistors,R17,10k,0805_RES,72-0869,,,,
Resistors,R22,100R,0805_RES,72-0592,,,,
Resistors,R23,100R,0805_RES,72-0592,,,,
Resistors,R24,100R,0805_RES,72-0592,,,,
Resistors,R25,100R,0805_RES,72-0592,,,,
Integrated Circuits,U1,CH340G,SO16,,"25,00грн",,,
Integrated Circuits,U2,KF33BD-TR,SO8,,"12,75грн",http://www.kosmodrom.com.ua/el.php?name=KF33BD-TR,00-00026127,
Integrated Circuits,U5,PCF8574A,SO16W,,,,,
Integrated Circuits,U6,ESP-12,ESP-12-S,,"98,00грн",,00-00048613,
Transistors,Q1,BC817-40,SOT95P230X109-3,Digikey 497-2531-2-ND,"0,50грн",http://www.kosmodrom.com.ua/el.php?name=BC817-40.215,00-00031366,
Transistors,Q2,BC817-40,SOT95P230X109-3,Digikey 497-2531-2-ND,"0,50грн",http://www.kosmodrom.com.ua/el.php?name=BC817-40.215,00-00031366,
Diodes,D26,SM11,DIOM5336X240,Digikey MBRS3200T3GOSCT-ND,"9,25грн",http://www.kosmodrom.com.ua/el.php?name=MBRS3200T3G,00-00033324,
Miscellaneous,J1,CONN-SIL6,CONN-SIL6,,,,,
Miscellaneous,J3,CONN-SIL2,CONN-SIL2,,,,,
Miscellaneous,J4,CONN-SIL2,CONN-SIL2,,,,,
Miscellaneous,J7,USB B micro,USB B micro,,"3,00грн",,00-00040869,
Miscellaneous,J8,CONN-SIL9,CONN-9-PIN,,,,,
Miscellaneous,J9,CONN-SIL2,CONN-SIL2,,,,,
Miscellaneous,Y1,CSTCE12M0G55-R0,CSTCE,Digikey 490-1197-1-ND,"9,00грн",http://www.kosmodrom.com.ua/el.php?name=CSTCE12M0G55-R0,00-00060512,
